Model,Accuracy,Precision,Recall,F1-Score
CNN Scratch,0.9853658536585366,0.9856101369602691,0.9853658536585366,0.9853422270324409
ResNet50,0.5809756097560975,0.6062959402760449,0.5809756097560975,0.5554899647150595
EfficientNetB0,0.22146341463414634,0.07862911630380345,0.22146341463414634,0.11004179269708497
MobileNetV2,0.9117073170731708,0.9138698538837365,0.9117073170731708,0.9108261581604858
